PRODUCT ID,TITLE,DESCRIPTION,IMAGE,CATEGORIES,TRACK INVENTORY,TAXABLE,SKU,PRICE,SALE PRICE,INVENTORY,WEIGHT,PRODUCT TYPE,OPTION1 NAME,OPTION1 TYPE,OPTION1 VALUE
4554,Ariel - Spectacular Singer - 2/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4554_i1_w916.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:1,0,,0,,physical,Version,radio,Non-Foil
4554,Ariel - Spectacular Singer - 2/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4554_i1_w916.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:2,,,0,,physical,Version,radio,Cold-Foil
4555,Cinderella - Gentle and Kind - 3/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4555_i1_w960.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:1,0,,0,,physical,Version,radio,Non-Foil
4555,Cinderella - Gentle and Kind - 3/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4555_i1_w960.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:2,0,,0,,physical,Version,radio,Cold-Foil
4556,Goofy - Musketeer - 4/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4556_i1_w960.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:1,0,,0,,physical,Version,radio,Non-Foil
4556,Goofy - Musketeer - 4/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4556_i1_w960.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:2,,,0,,physical,Version,radio,Cold-Foil
4557,Hades - King of Olympus - 5/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4557_i1_w960.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:1,0.5,,11,,physical,Version,radio,Non-Foil
4557,Hades - King of Olympus - 5/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4557_i1_w960.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:2,0,,0,,physical,Version,radio,Cold-Foil
4558,Hades - Lord of the Underworld - 6/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4558_i1_w960.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:1,0.5,,3,,physical,Version,radio,Non-Foil
4558,Hades - Lord of the Underworld - 6/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4558_i1_w960.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:2,,,0,,physical,Version,radio,Cold-Foil
4559,Heihei - Boat Snack - 7/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4559_i1_w916.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:1,0,,0,,physical,Version,radio,Non-Foil
4559,Heihei - Boat Snack - 7/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4559_i1_w916.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:2,0,,0,,physical,Version,radio,Cold-Foil
4560,Lefou - Bumbler - 8/204,,https://www.hooverscards.ca/uploads/4/2/9/4/4294662/s702614717933302875_p4560_i1_w960.jpeg,The First Chapter,TRUE,TRUE,INTERNAL_SKU_ID:1,0,,0,,physical,Version,radio,Non-Foil
